restuarant_name,restuarant_url,contact_number,address,review_count,categories,pricing,rating
Vintry,https://www.yelp.com/biz/vintry-kuala-lumpur,03-4252 8262,"No. 24, Persiaran Ampang",3,Pizza,,4 star rating
Morganfield,https://www.yelp.com/biz/morganfield-kuala-lumpur,03-6211 9958,"Level G3, Publika Jalan Dutamas 1",7,Burgers,$$$,4.5 star rating
Al Rawsha Restaurant,https://www.yelp.com/biz/al-rawsha-restaurant-kuala-lumpur-3,03-9200 6600,"8, Jalan Kampung Pandan",6,Lebanese,$$,4 star rating
Nagasari Curry House,https://www.yelp.com/biz/nagasari-curry-house-kuala-lumpur,,11 Jalan Angkosa,5,Indian,,4 star rating
Warisan Cafe The Royale Chulan Hotel Kuala Lumpur,https://www.yelp.com/biz/warisan-cafe-kuala-lumpur,03-2688 9688,Jalan Conlay,5,Buffets,$$$,4 star rating
teaPODs cafe,https://www.yelp.com/biz/teapods-cafe-kuala-lumpur,03-2276 0858,"G-6, 30 Jalan Thambipillay",2,Cafes,,4.5 star rating
Italiannies,https://www.yelp.com/biz/italiannies-kuala-lumpur,03-2283 3675,Lingkara Syed Putra,10,Italian,$$$,4 star rating
In Colonial,https://www.yelp.com/biz/in-colonial-kuala-lumpur,Located in The Intermark Mall,Located in The Intermark Mall,3,Chinese,$$,4.5 star rating
Sushi Mentai,https://www.yelp.com/biz/sushi-mentai-kuala-lumpur,,Jalan Metro Perdana Barat,3,Sushi Bars,$,3.5 star rating
Dewakan,https://www.yelp.com/biz/dewakan-kuala-lumpur,03-5565 0767,"Skyviews, Naza Tower",4,Malaysian,$$$,4 star rating
Tehran Restoran,https://www.yelp.com/biz/tehran-restoran-ampang,03-4251 5105,1 Jalan Ampang Utama 2/2,1,Persian/Iranian,,4 star rating
Segambut Yong Tau Foo,https://www.yelp.com/biz/segambut-yong-tau-foo-kuala-lumpur,,1-19 Lorong Segambut Dalam,3,Chinese,,3.5 star rating
Spring Garden Restaurant,https://www.yelp.com/biz/spring-garden-restaurant-kuala-lumpur-2,Located in Suria KLCC,Located in Suria KLCC,5,Seafood,,4 star rating
Ole-Ole Bali,https://www.yelp.com/biz/ole-ole-bali-petaling-jaya,03-7492 0308,"08-1C, Jalan PJS 11/15",12,Indonesian,$$,5 star rating
M Terrace Restaurant & Food,https://www.yelp.com/biz/m-terrace-restaurant-dan-food-kuala-lumpur,03-2078 0988,"No 49-51, Jalan Hang Lekiu",2,Malaysian,,3.5 star rating
Sisters Noodles @ Beh Brothers Restaurant,https://www.yelp.com/biz/sisters-noodles-beh-brothers-restaurant-kuala-lumpur,,"31, Jalan Alor",1,Chinese,,5 star rating
Hon Kee Famous Porridge & Chu Cheong Fun,https://www.yelp.com/biz/hon-kee-famous-porridge-and-chu-cheong-fun-kuala-lumpur,012-227 6281,93 Jalan Hang Lekir,3,Congee,$,4.5 star rating
Rendezvous Steak Garden Restaurant,https://www.yelp.com/biz/rendezvous-steak-garden-restaurant-wilayah-persekutuan,014-602 6051,"14, Jalan Kampung Pandan",5,American (Traditional),$$,4 star rating
Kasbah,https://www.yelp.com/biz/kasbah-kuala-lumpur,03-2202 0206,100 lorong Maroof,,Moroccan,,
Restoran Wan Fo Yuan,https://www.yelp.com/biz/restoran-wan-fo-yuan-kuala-lumpur,03-2078 0952,"8, Jalan Panggong",2,Restaurants,,4 star rating
Iketeru,https://www.yelp.com/biz/iketeru-kuala-lumpur,Located in Hilton Kuala Lumpur,Located in Hilton Kuala Lumpur,5,Japanese,,5 star rating
Astana Restaurant,https://www.yelp.com/biz/astana-restaurant-sri-petaling,03-9054 3642,Jalan 3/149E,1,Russian,$$,5 star rating
Dragon Door Inn Steamboat Restaurant,https://www.yelp.com/biz/dragon-door-inn-steamboat-restaurant-kuala-lumpur,03-9130 1062,"No.18-1, Jalan Manis",2,Chinese,,5 star rating
Restaurant Nepal,https://www.yelp.com/biz/restaurant-nepal-kuala-lumpur,03-6206 3904,": F-0-6, Plaza Damas, 60 Jalan Sri Hartamas 1,, Sri Hartamas",2,Himalayan/Nepalese,$$,4 star rating
Neo Tamarind,https://www.yelp.com/biz/neo-tamarind-kuala-lumpur,03-2148 3700,"19, Jalan Sultan Ismail",2,Thai,,4.5 star rating
WonderMama,https://www.yelp.com/biz/wondermama-kuala-lumpur-3,Located in Avenue K,Located in Avenue K,12,Asian Fusion,$$,4 star rating
Restoran Meng Kee,https://www.yelp.com/biz/restoran-meng-kee-kuala-lumpur,012-627 7919,Jalan Batu Ambar,1,Chinese,,4 star rating
Charcoal Stove Hokkien Mee,https://www.yelp.com/biz/charcoal-stove-hokkien-mee-kuala-lumpur,016-289 1606,Jalan Lazat 1/48,2,Noodles,,3.5 star rating
KGB - Killer Gourmet Burgers,https://www.yelp.com/biz/kgb-killer-gourmet-burgers-kuala-lumpur,03-2201 5557,Lingkaran Syed Putra,1,Burgers,$$,5 star rating
Nam Heong Chicken Rice,https://www.yelp.com/biz/nam-heong-chicken-rice-kuala-lumpur-2,03-2078 5859,"56, Jalan Sultan",2,Chinese,,4 star rating
Samba,https://www.yelp.com/biz/samba-kuala-lumpur-2,011-3709 5956,156 Jalan Ampang,11,Brazilian,$$$,3.5 star rating
Tao Chinese Cuisine,https://www.yelp.com/biz/tao-chinese-cuisine-kuala-lumpur,03-2782 6128,165 Jalan Ampang,1,Chinese,,4 star rating
Kedai Kopi Mee Bon,https://www.yelp.com/biz/kedai-kopi-mee-bon-kuala-lumpur,03-4043 7784,"491, Ipoh Road",4,Dim Sum,$,4.5 star rating
Nando’s,https://www.yelp.com/biz/nandos-kuala-lumpur-2,03-2272 2036,"201, Jalan Tun Sambathan",5,African,,4 star rating
Malai Thai Cuisine,https://www.yelp.com/biz/malai-thai-cuisine-kuala-lumpur,03-2181 2505,Fraser's Place,2,Thai,,4.5 star rating
JP Teres,https://www.yelp.com/biz/jp-teres-kuala-lumpur,Located in Grand Hyatt Kuala Lumpur,Located in Grand Hyatt Kuala Lumpur,3,Malaysian,$$,3.5 star rating
Market Place,https://www.yelp.com/biz/market-place-kuala-lumpur,03-2166 0750,4A Lorong Yap Kwan Seng,2,Dance Clubs,,4.5 star rating
Aunty Nat,https://www.yelp.com/biz/aunty-nat-kuala-lumpur-2,012-650 7222,"5-1, Mid Valley Boulevard",2,Nyonya,,5 star rating
Jom Makan,https://www.yelp.com/biz/jom-makan-kuala-lumpur,012-201 5578,"No. 5, Jalan Bangsar Utama",4,Malaysian,,4 star rating
Mero-Nepal Restaurant,https://www.yelp.com/biz/mero-nepal-restaurant-kuala-lumpur,016-675 5137,"27-1, Jalan Tun HS Lee",1,Himalayan/Nepalese,,4 star rating
Capricciosa,https://www.yelp.com/biz/capricciosa-kuala-lumpur-2,03-2141 0517,Jalan Raja Chulan,1,Pizza,,5 star rating
Awet Thai Seafood,https://www.yelp.com/biz/awet-thai-seafood-petaling-jaya,03-7725 0175,"Lot 13544, Jalan Cempaka",8,Thai,,5 star rating
Little Thai,https://www.yelp.com/biz/little-thai-ampang,016-948 1292,10 Persiaran Ampang,1,Thai,,5 star rating
Restoran Siu Siu,https://www.yelp.com/biz/restoran-siu-siu-kuala-lumpur,016-370 8555,Lorong Syed Putra Kiri,2,Chinese,,3 star rating
Sitka Restaurant,https://www.yelp.com/biz/sitka-restaurant-kuala-lumpur,03-2094 2154,"8-5, Jalan Batai, Bukit Damansara,",5,Restaurants,,4 star rating
Gandhi’s vegetarian restaurant,https://www.yelp.com/biz/gandhis-vegetarian-restaurant-kuala-lumpur,012-355 1541,28 Jalan Scott,4,Indian,$,5 star rating
Restaurant Sun Gee,https://www.yelp.com/biz/restaurant-sun-gee-kuala-lumpur,,Jalan Bunga Mawar 2,2,Restaurants,,4 star rating
Jarrod & Rawlins,https://www.yelp.com/biz/jarrod-and-rawlins-kuala-lumpur,03-2095 1608,63 Jalan Bangkung,3,Pubs,,3.5 star rating
BRYCG,https://www.yelp.com/biz/brycg-kuala-lumpur,03-2630 6728,"1, Jalan Nipah",4,Seafood,,3.5 star rating
Tupai Tupai,https://www.yelp.com/biz/tupai-tupai-kuala-lumpur,03-2143 2525,"551A, Jalan Bukit Petaling",2,Malaysian,$$,3.5 star rating
Mansion Tea Stall,https://www.yelp.com/biz/mansion-tea-stall-kuala-lumpur,,Lorong Bunus Satu,3,Indian,$,5 star rating
Strato,https://www.yelp.com/biz/strato-kuala-lumpur,Located in The Troika,Located in The Troika,7,Italian,$$$,4.5 star rating
Teeq Brasserie,https://www.yelp.com/biz/teeq-brasserie-kuala-lumpur,,Lot 10 Jalan Sultan Ismail,1,Restaurants,,4 star rating
Lau Heong Seafood,https://www.yelp.com/biz/lau-heong-seafood-kuala-lumpur,,Jalan 3/48,8,Seafood,$,4 star rating
Hubba Hubba,https://www.yelp.com/biz/hubba-hubba-kuala-lumpur-3,017-786 7611,1 Lorong Ceylon,3,Bars,$$,4 star rating
Grand Imperial Seafood HotPot & BBQ,https://www.yelp.com/biz/grand-imperial-seafood-hotpot-and-bbq-kuala-lumpur,03-2110 5557,81-C Jalan Bukit Bintang,1,Seafood,,5 star rating
Five Senses,https://www.yelp.com/biz/five-senses-kuala-lumpur,03-2773 8338,199 Jalan Bukit Bintang,2,Dim Sum,,4.5 star rating
Cozy Place,https://www.yelp.com/biz/cozy-place-kuala-lumpur,,"303, Jalan Ampang,",3,Malaysian,,4.5 star rating
RSMY,https://www.yelp.com/biz/rsmy-kuala-lumpur,,"16, Jalan Masjid India",2,Malaysian,,3 star rating
Sushi Jiro,https://www.yelp.com/biz/sushi-jiro-kuala-lumpur-2,03-2202 2638,Lingkaran Syed Putra,2,Sushi Bars,,4 star rating
DuViet,https://www.yelp.com/biz/duviet-kuala-lumpur,Located in Suria KLCC,Located in Suria KLCC,5,Vietnamese,,4 star rating
Pho Vietz,https://www.yelp.com/biz/pho-vietz-kuala-lumpur-2,,"Pavilion, 168, Jalan Bukit Bintang",1,Vietnamese,,4 star rating
Red Lobster,https://www.yelp.com/biz/red-lobster-kuala-lumpur-2,03-2602 1946,Jalan Sultan Ismail,8,Seafood,$$$,3.5 star rating
Yong Tau Foo Kg Pandan,https://www.yelp.com/biz/yong-tau-foo-kg-pandan-kuala-lumpur,,Jalan Kampung Pandan,2,Malaysian,,5 star rating
Hong Kee Restaurants,https://www.yelp.com/biz/hong-kee-restaurants-kuala-lumpur,03-4291 0426,"69, Jalan Pandan Indah 4/3A",2,Dim Sum,$$,4 star rating
Bee Won Korean BBQ Restaurant,https://www.yelp.com/biz/bee-won-korean-bbq-restaurant-kuala-lumpur,03-4256 8573,"67, Jalan Taman Ibu Kota",7,Korean,$$,4.5 star rating
Chinoz on The Park,https://www.yelp.com/biz/chinoz-on-the-park-kuala-lumpur,03-2166 8277,Jalan Ampang,17,Brasseries,$$,4 star rating
Dip n Dip,https://www.yelp.com/biz/dip-n-dip-kuala-lumpur,,"5, Jalan Telawi 3",21,Creperies,$$,3.5 star rating
BBQ nights,https://www.yelp.com/biz/bbq-nights-kuala-lumpur,,"The Intermark, Jalan Tun Razak",3,Barbeque,,3.5 star rating
VCR,https://www.yelp.com/biz/vcr-kuala-lumpur,03-2110 2330,"2, Jalan Galloway",64,Coffee & Tea,$$,4.5 star rating
Puffy Buffy,https://www.yelp.com/biz/puffy-buffy-kuala-lumpur,03-2276 1908,"Lot 4.12, Level 4, Nu Sentral Mall, Jalan Tun Sambanthan",3,Cafes,,4.5 star rating
Tujo Bar-sserie & Grill,https://www.yelp.com/biz/tujo-bar-sserie-and-grill-kuala-lumpur,012-210 3055,"9, Jalan Pinang",11,Brasseries,$$$,4 star rating
