word,Highest_word_score
laine,0.47781603896997954
dish,0.2600206962646066
birthday,0.284225183467529
better,0.3882666412491841
opium,0.3651298824089302
girl,0.3106864794861095
unsure,0.24497164020175952
sum,0.3619483858038923
delightful,0.39497446974822065
forced,0.3135391267984936
yummy,0.39896197949939627
twice,0.40256734443176057
expert,0.3795243245473916
opium,0.28447282680927294
theyd,0.39416143974169127
beef,0.38117089720272146
bars,0.33375728213676126
creative,0.3971288385192462
cocktails,0.23499128352986223
happening,0.3559303882720273
lemak,0.29979046869380993
ten,0.3211343832618474
hell,0.24691086901122988
school,0.37814820945656896
spaces,0.28241015873055103
kopitiam,0.3693498974897452
amah,0.3823465343678188
jala,0.3145472851032555
roti,0.5072431034409319
tho,0.5429316908053611
fabulous,0.5535333464077785
abc,0.3030371974873634
lemak,0.34092765089021143
oasis,0.3433864189064029
malaysian,0.31618538090772025
culture,0.3165216461565294
four,0.3951937848232043
new,0.23311572854096943
yut,0.28916508957348874
pork,0.4669369971041676
chop,0.3244275274277999
lately,0.3635930292149544
hailam,0.3301971162441841
babi,0.3373153104567153
nostalgia,0.19324567589908043
loin,0.34058361414078103
test,0.28584311339501306
waiting,0.3032239536749155
kaya,0.30497937653660606
kaya,0.4337098620924921
loh,0.45001584218032586
bun,0.25761759173565774
expect,0.25895545147346655
baba,0.2980780097906871
favourite,0.39095593895894015
searching,0.2654979834332055
bones,0.3538424702405772
brick,0.4511671105206053
sausages,0.27678876112520073
claypot,0.6013260958935723
kin,0.3039348808572696
pan,0.3822905564302257
bacon,0.2716209427066395
noodles,0.36504359251863616
owner,0.3224331969623479
kin,0.5401472667465291
chili,0.4479809632425223
us,0.3917609750194645
kin,0.6295968712221619
chilli,0.5033105558390142
kin,0.5849042455481288
pan,0.3743162172661686
chili,0.5016433737611763
dente,0.36026389908802103
homemade,0.4482375971933675
kin,0.7852172614377432
car,0.37161580230076513
pan,0.4996071416568595
pan,0.3725500638316692
cpm,0.438729035103904
forget,0.19025577756596931
coconut,0.2834637953951069
touristy,0.4213353139019309
malaysia,0.4802163059815896
driver,0.33277254414712565
enjoying,0.5024926851990543
nasi,0.5579006185504709
brunch,0.3940547292190132
courses,0.29647117758136154
cantaloupe,0.27160305180290834
curated,0.3565827184050243
dining,0.26987898885850986
cantaloupe,0.37516494990459476
date,0.27658941855085895
large,0.2525349080587956
cost,0.2867778576727605
gotta,0.4220697971347833
stop,0.24630301884023412
bijan,0.3057247777503607
expensive,0.28631071906390504
looked,0.20491588820261167
almost,0.28689946849707654
twist,0.3332969500730574
excellent,0.4838560696352569
popiah,0.46098103241636995
malay,0.39403995498460787
durian,0.42399432171202284
creme,0.3368340199553102
durian,0.45817395892227747
malay,0.3050916474018436
contemporary,0.3736640419892661
equivalent,0.3156614126991884
fine,0.3101420413108712
desired,0.36813870847370705
coconut,0.2840159650393601
risotto,0.4202851981528069
starter,0.24125856051063568
mushroom,0.3211554746745668
ha,0.38464285003385845
lighter,0.2517688341953014
pizza,0.44868391586868717
appetising,0.48591692585501156
duck,0.41634174379941324
lotus,0.33404360919621107
childhood,0.321547097297838
yee,0.2888467220670958
lord,0.21578233691746285
si,0.4533910783945841
wood,0.3210458160530871
fare,0.2325059739701416
blend,0.5161401637610877
cny,0.23517653451137085
lane,0.3686478967455107
carts,0.35800381958327143
ok,0.3511825655221547
corner,0.47905009871177345
basic,0.4504512345019367
court,0.33297721429419
fish,0.2618037478887374
options,0.4170931260095698
big,0.22505886088582128
cleaner,0.2527800142574117
court,0.24387926520125106
republic,0.4036936962471168
kuay,0.2889795940836182
rice,0.32917965239253594
food,0.28274924704970955
spaghetti,0.48284424879718146
court,0.40391897955737316
vegetarian,0.34806061632499774
food,0.38461417935489745
steamboat,0.542224339588521
girls,0.35453082004170017
numerous,0.3779539044210123
great,0.3763320583088733
pork,0.28489713702268105
def,0.4901022297623996
preserved,0.31459266069047537
hakka,0.45878954224502816
guest,0.5996457593009946
man,0.3904515401440508
menu,0.2738668534365107
element,0.34663415084540344
bacon,0.19903337265202403
pinchos,0.401054897582308
garlic,0.36807019473696156
paella,0.5074228024262897
drink,0.25297064564939997
impressed,0.3376365000500706
advisable,0.2543397975497888
tapas,0.34295680904118575
spanish,0.5089928725375167
pinchos,0.5590495325035273
competition,0.3319982396919068
chorizo,0.22026915539047334
calamari,0.35456740619945676
pinchos,0.2902603633533841
upscale,0.4435871084551304
santan,0.4619132683788775
gula,0.31865830966898767
expected,0.43546321270796184
mall,0.25779010120292617
familys,0.2214830850235167
atrium,0.336433105896236
orchid,0.46965201601041817
x,0.7482202106207356
seat,0.39132659069677783
beef,0.3804538256829803
hot,0.2939075315504088
noodles,0.21806072294965353
hoping,0.40890676948093013
noodles,0.3246365820310462
soong,0.360399635343882
beef,0.5262357073189727
noodle,0.28317800438645807
recommended,0.43783238590707046
soong,0.26463544468280753
visits,0.32655077860265097
canai,0.3073744238095117
naan,0.36531033843029603
tgs,0.2594194388433159
roti,0.500335849503752
found,0.2798024470092211
curry,0.2889569517216791
sugar,0.3373135285812882
roti,0.5381552915525737
appearance,0.34499566044600216
honey,0.39206218345310634
myr,0.6851034915679362
basic,0.3447294620440319
roti,0.4750895759558395
breads,0.6206408056811474
indian,0.41430940327627547
space,0.26026274429111007
authenticity,0.2781803628894376
tgs,0.38326547439290626
courts,0.4463240308673606
consumed,0.30421038856285737
meal,0.2844487999474996
dark,0.29739918822096967
sense,0.24530267641850229
fun,0.26696147697435885
pitchblack,0.2161962363380316
couple,0.3191895053659336
girlfriend,0.22478010493513825
sight,0.31294754029189453
appreciation,0.22202729736981133
dining,0.4595212985258462
lemak,0.20491132896330097
bojari,0.5145351661956478
lychee,0.47633420741098964
dipping,0.3779706515524432
hoped,0.3513383496490294
meat,0.27632200485016156
lemak,0.23475788092999503
business,0.36230917255039347
street,0.3397825066344446
wife,0.35714171192482336
kwans,0.22968758292983638
laksa,0.28853908715877585
server,0.4075655520564898
large,0.287411834084944
kwans,0.261443142954596
normal,0.454818844381505
dishes,0.3261871813665572
koay,0.2629119283008171
madam,0.28920428049775376
madam,0.47016388331211706
burger,0.26244580616024493
trained,0.42690784258242925
keep,0.3487120574198757
burgerlab,0.28634481053816846
oug,0.4068586241773588
branch,0.36835904171415
burgers,0.6849589973853784
burger,0.5438482958680453
outlet,0.3517042180460124
burger,0.35663465856242077
burger,0.34978469657215905
took,0.23636186701176765
